ZIPCODE,tree_density
00083,2.4411901369563316e-05
10001,5.119432605233221e-05
10002,8.618679304469119e-05
10003,0.00013032249733539814
10004,8.704920100609853e-06
10005,6.913434208845016e-05
10006,3.08742494593577e-05
10007,6.663074266408036e-05
10009,0.00012097951173935374
10010,9.100778051364069e-05
10011,0.0001177807099869563
10012,0.00011703616994701223
10013,7.714732635024842e-05
10014,0.00018309592773955847
10016,0.00012444820121472054
10017,8.658023473467442e-05
10018,4.5302561182033285e-05
10019,9.108588822318534e-05
10020,0.00017639541837798586
10021,0.0001866579417097881
10022,0.00012782503920261113
10023,0.00014855996085725418
10024,0.00014472839309551916
10025,0.0001882732285360688
10026,0.00016488348663939808
10027,0.00012115676279901898
10028,0.00018349842217520697
10029,0.0001055155697990974
10030,0.00017595508748741395
10031,0.00015305742984649359
10032,9.572718207069488e-05
10033,0.00012199761024724772
10034,6.423469349940934e-05
10035,5.161717269897803e-05
10036,7.845470206254053e-05
10037,9.709303787585425e-05
10038,5.325541037361157e-05
10039,9.51416257290875e-05
10040,9.546689642887935e-05
10041,0.0
10043,0.0
10044,0.0
10045,0.0
10047,0.0
10048,1.2335673106567672e-05
10055,0.0
10065,0.0001670077968074075
10069,5.0160896575461925e-05
10075,0.0001869157216547862
10080,0.0
10081,0.0
10096,0.0
10097,0.0
10103,0.0
10104,0.0
10105,0.0
10106,0.0
10107,0.0
10110,0.0
10111,0.00024256242181538296
10112,0.0
10115,9.760162758149785e-05
10118,0.0
10119,0.0
10120,0.0
10121,0.0
10122,0.0
10123,0.0
10128,0.00019397582367214211
10151,0.0
10152,0.0
10153,0.0
10154,0.0
10155,0.0
10158,0.0
10162,0.0
10165,0.0
10166,0.0
10167,0.0
10168,0.0
10169,0.0
10170,0.0
10171,0.0
10172,0.0
10173,0.0
10174,0.0
10175,0.0
10176,0.0
10177,0.0
10178,0.0
10196,0.0
10203,0.0
10259,0.0
10260,0.0
10265,0.0
10270,0.0
10271,0.0
10275,0.0
10278,0.0
10279,0.0
10280,0.00018709877769003261
10281,7.532501000758581e-05
10282,0.00014972694149407057
10285,0.0
10286,0.0
10301,5.7366841451438664e-05
10302,8.01547659664016e-05
10303,3.966689922652219e-05
10304,5.960702338794994e-05
10305,6.151191201696065e-05
10306,7.48408101869695e-05
10307,0.00011842692896351285
10308,0.00011340050769136455
10309,5.86093705490889e-05
10310,6.787837071019013e-05
10312,0.00013121022431151103
10314,3.566563090909601e-05
10451,8.464590187198601e-05
10452,0.00012050647920783288
10453,0.00011845345949232396
10454,5.649696903000575e-05
10455,0.00010298827824753022
10456,0.000136469390180985
10457,0.0001109174450328818
10458,9.46653426997484e-05
10459,0.00013648492886528772
10460,9.27588724980032e-05
10461,8.971085628008104e-05
10462,7.985287189229528e-05
10463,9.348849160184449e-05
10464,1.1379635216425425e-05
10465,4.7803182546932414e-05
10466,9.196111039653708e-05
10467,6.280993351427706e-05
10468,8.679848797763896e-05
10469,9.861717401272997e-05
10470,6.382446919244868e-05
10471,2.1182043453752262e-05
10472,0.00011077650224121049
10473,7.340099419359604e-05
10474,6.510055962391582e-05
10475,4.8274419942980006e-05
11001,0.00014975128404371538
11004,0.00018269060151477346
11005,1.8511320888152783e-05
11040,0.00013797320116228532
11096,5.540438914457388e-06
11101,4.289400209608279e-05
11102,9.112661903731434e-05
11103,0.00011749350381091232
11104,0.00013769782344883323
11105,8.043756711813685e-05
11106,8.229241278593773e-05
11109,0.00015828306897821447
11201,0.0001098433492646491
11203,8.477226397483942e-05
11204,0.00010862082303186869
11205,0.00011345007370384884
11206,9.994908942093928e-05
11207,0.00011672889688950808
11208,0.00010396742694265673
11209,0.00010720525468874996
11210,0.0001138513037424053
11211,0.00010236989729185256
11212,0.00010018558976325717
11213,0.00012324928126040998
11214,7.105148742305292e-05
11215,0.00010270849778246758
11216,0.00013263726834062808
11217,0.0001498510880493404
11218,0.00013203576285065723
11219,0.00010625497676733466
11220,9.855904902160133e-05
11221,0.00013213936017931568
11222,8.649094308654048e-05
11223,0.00010188589676344817
11224,4.173270262525262e-05
11225,0.00012101965324078209
11226,9.832879547161551e-05
11228,8.623238027304375e-05
11229,0.00010144824287225229
11230,0.00014693539732050365
11231,9.131355785093321e-05
11232,3.776011632130557e-05
11233,0.00012494820114732004
11234,5.457295460391011e-05
11235,7.468089769989373e-05
11236,7.117065387347869e-05
11237,0.00010759914623547503
11238,0.00013156900627251896
11239,2.3639383161962396e-05
11249,0.00010364498264131616
11251,9.07675516070208e-06
11354,9.395799218873054e-05
11355,0.00010706096294669613
11356,7.153548178478169e-05
11357,0.00012214463074350658
11358,0.0001268340846524453
11359,0.0
11360,6.432371082662009e-05
11361,0.00012321703533661627
11362,8.099772041857166e-05
11363,0.00011760197556620536
11364,8.371739901370742e-05
11365,0.00010705350342366009
11366,0.0001479964768174996
11367,7.170703378705442e-05
11368,5.9953375461898375e-05
11369,0.00010964557277840252
11370,7.607003546643504e-05
11371,4.221414857549386e-06
11372,0.00016341584141442783
11373,9.855852221213073e-05
11374,0.00012236367297442646
11375,0.0001269883603361237
11377,7.866924930532538e-05
11378,6.0865789450053046e-05
11379,8.491427963590251e-05
11385,8.76458316655899e-05
11411,8.99703600880579e-05
11412,0.00010245894436784247
11413,8.665038972094156e-05
11414,7.273714197683397e-05
11415,0.00010373592458238824
11416,9.493578675319278e-05
11417,0.00011788127372612758
11418,0.00010588559366627726
11419,8.967718676961133e-05
11420,8.878536396541828e-05
11421,0.00011741992794742656
11422,0.00010517183766609662
11423,7.963183154994149e-05
11426,0.00010322689669882686
11427,0.00011099061300578104
11428,0.00012942625069426223
11429,7.361082640983658e-05
11430,1.8507989502201002e-07
11432,0.00011562446519694623
11433,7.844668016167461e-05
11434,9.469018097216224e-05
11435,0.00010912960160096665
11436,0.00010603853341191257
11451,2.4610350130602e-05
11691,6.812997565045352e-05
11692,8.390158498213303e-05
11693,1.833214817059098e-05
11694,7.425947388055507e-05
11697,5.017581553923144e-07
