ZIPCODE,crime_rate
00083,0.2
10001,0.0022308481684736535
10002,0.00020908923190455692
10003,0.0005010916639822471
10004,0.009144947416552356
10005,0.001726902676699149
10006,0.006974427100631019
10007,0.005052574081660522
10009,6.508827597429013e-05
10010,0.0007027877246410763
10011,0.0010277898565047238
10012,0.0009474377986488713
10013,0.0012149365731641952
10014,0.0005107252298263534
10016,0.0002930080943486064
10017,0.001005151400929765
10018,0.004542976558240959
10019,0.0014535576419005861
10020,inf
10021,0.00017660434005165677
10022,0.0008752074845329712
10023,0.00027070063694267516
10024,0.0003075818936791921
10025,0.00019780540112853187
10026,0.0003205782065106519
10027,0.00034106993639045687
10028,0.00025247212286976645
10029,0.00012902726346076927
10030,0.0002994011976047904
10031,0.0002280301701455885
10032,0.0003471860570079506
10033,0.00025790288114361506
10034,0.00045978185905131677
10035,0.0002006650613461759
10036,0.0011043622308117063
10037,0.00017718977024393126
10038,0.0008887959429079312
10039,0.00016505735743170752
10040,0.00021933565666658542
10041,
10043,
10044,8.575593859874797e-05
10045,
10047,
10048,
10055,0.0
10065,0.0004483098717833767
10069,0.0
10075,0.00015871126453200017
10080,
10081,
10096,
10097,
10103,inf
10104,
10105,
10106,
10107,inf
10110,
10111,
10112,inf
10115,
10118,
10119,inf
10120,
10121,inf
10122,
10123,
10128,0.00010762717945038387
10151,
10152,
10153,
10154,inf
10155,
10158,
10162,
10165,inf
10166,
10167,
10168,inf
10169,
10170,
10171,
10172,
10173,
10174,inf
10175,
10176,
10177,
10178,
10196,
10203,
10259,
10260,
10265,
10270,
10271,
10275,
10278,
10279,
10280,0.0
10281,0.0
10282,0.0
10285,
10286,
10301,7.418764528413868e-05
10302,0.0
10303,0.0
10304,0.00014457134595923088
10305,9.581756335936378e-05
10306,0.00021581957483543757
10307,0.0004965947786606129
10308,7.243227582210633e-05
10309,0.0002415896599625536
10310,0.0
10312,0.00010255358424776946
10314,0.0
10451,0.0003624830086089715
10452,0.00028907810364764007
10453,0.00018046818603691863
10454,0.0005071264613249346
10455,0.00047697946477883216
10456,4.474773464593355e-05
10457,0.00011387414060609511
10458,0.00010080391119175424
10459,0.0004914109905136314
10460,0.00019410622904535027
10461,0.00021761063522522702
10462,0.0001321457832280572
10463,0.0001557169349244773
10464,0.0
10465,2.3802723031514804e-05
10466,0.00010153462330654754
10467,0.00019401217171098313
10468,0.00023326975589006132
10469,7.680373573370609e-05
10470,0.000271370420624152
10471,0.00012778464028623759
10472,0.00012056181807221654
10473,0.0
10474,0.0
10475,0.0
11001,0.0
11004,0.0
11005,0.0
11040,0.0
11096,0.0
11101,0.0019806505675325665
11102,0.0002062220127268442
11103,0.0001830831197363603
11104,0.0003686364139049655
11105,0.00010838346068389963
11106,0.0001551791025475236
11109,0.0
11201,0.001074640372541996
11203,0.0
11204,0.00010342063758823073
11205,0.00026747720364741644
11206,0.0002752019144481005
11207,0.0003313523451195006
11208,0.00018006567100942696
11209,0.0001588332972348567
11210,0.00011928370137325361
11211,0.00044363385419233993
11212,0.00011923783177926692
11213,0.0001922275974754109
11214,0.0002357934449422306
11215,0.0003951194841320015
11216,0.0001856596487319446
11217,0.0006554690700532568
11218,0.0001936912008854455
11219,0.00020527003813701234
11220,0.00019535868883473683
11221,7.478312892611427e-05
11222,0.00030290513561889026
11223,0.00022538315135730742
11224,0.00020161290322580645
11225,0.0002476692554000743
11226,0.0001790223495270041
11228,0.0001392757660167131
11229,6.280775801426992e-05
11230,0.000247350260336149
11231,0.00018102824040550325
11232,0.0001693709562684191
11233,0.0002097786834889192
11234,0.0
11235,0.0001838959674241429
11236,5.292125317527519e-05
11237,0.00038512212425255904
11238,0.0004928853077318703
11239,0.0
11249,0.0
11251,0.0
11354,0.00017086715079026057
11355,0.0
11356,0.0
11357,0.0
11358,0.0
11359,
11360,0.0
11361,0.0
11362,0.0
11363,0.0
11364,0.0
11365,0.0
11366,0.0
11367,0.0
11368,0.00012835911212168445
11369,0.0
11370,0.0
11371,
11372,0.0001200552254036857
11373,0.00020734187713512765
11374,0.00016372354110630335
11375,0.00021880242141346365
11377,0.00016510368511425176
11378,0.0
11379,2.822626171389861e-05
11385,0.00013206550449022716
11411,0.0
11412,0.0
11413,0.0
11414,0.0001529753709652746
11415,0.000315955766192733
11416,7.866892184242615e-05
11417,0.0003851270919403403
11418,0.00030048897751796107
11419,0.0001700174267862456
11420,4.490547397727783e-05
11421,0.00017942277131286204
11422,0.0
11423,0.0
11426,0.0
11427,0.0
11428,0.0
11429,0.0
11430,0.0
11432,0.0004832863471606927
11433,0.00029692092995635264
11434,0.0
11435,0.00020597708036851171
11436,0.0
11451,
11691,0.00019911394295385535
11692,0.000444000444000444
11693,0.0004524068041983351
11694,0.0003967663542131627
11697,0.0
