,Median Household Income,zip code tabulation area
1,96785.0,10312.0
2,31351.0,10452.0
3,57266.0,10462.0
4,47856.0,10473.0
5,136360.0,10018.0
6,57010.0,10027.0
7,97720.0,10036.0
10,64394.0,10304.0
11,110478.0,10308.0
12,31896.0,10459.0
13,58405.0,10466.0
14,28419.0,10474.0
15,122598.0,11217.0
16,43065.0,11206.0
17,111094.0,11363.0
18,184681.0,10005.0
19,139188.0,10010.0
20,124647.0,10016.0
21,130417.0,10017.0
22,64716.0,10026.0
23,66902.0,10033.0
24,130556.0,10069.0
27,117926.0,10128.0
30,86895.0,10310.0
31,250001.0,10007.0
32,101651.0,10019.0
34,130968.0,10021.0
35,95640.0,10038.0
36,41363.0,10039.0
37,36038.0,10472.0
38,124949.0,11001.0
39,54984.0,11204.0
40,78249.0,11218.0
41,56908.0,11223.0
42,35776.0,11224.0
43,56835.0,11373.0
44,108525.0,11231.0
45,79210.0,11417.0
46,169425.0,11109.0
51,88117.0,11375.0
52,85190.0,11420.0
53,69873.0,11435.0
54,52605.0,11691.0
55,81462.0,11102.0
56,42276.0,11207.0
57,48318.0,11213.0
58,77343.0,11216.0
59,65200.0,11225.0
60,74072.0,11232.0
61,100568.0,11238.0
62,70777.0,11358.0
63,70102.0,11365.0
64,103548.0,11003.0
65,81677.0,11103.0
66,79524.0,11209.0
67,57639.0,11214.0
68,55119.0,11220.0
69,57770.0,11230.0
70,45527.0,11355.0
71,59910.0,11377.0
72,52946.0,11693.0
73,56904.0,11368.0
74,77044.0,11385.0
75,85235.0,11412.0
76,75599.0,11414.0
78,87755.0,11694.0
79,116205.0,11697.0
80,82326.0,11378.0
81,104269.0,11411.0
82,73471.0,11416.0
83,70990.0,11423.0
84,132767.0,11040.0
85,86516.0,11105.0
86,71865.0,11106.0
87,66332.0,11229.0
88,84116.0,11234.0
89,82858.0,11357.0
90,64332.0,11367.0
91,61860.0,11369.0
92,75476.0,11415.0
93,73856.0,11418.0
94,77738.0,11421.0
95,66270.0,11432.0
96,97845.0,11004.0
97,75742.0,11005.0
98,90871.0,11211.0
99,61239.0,11372.0
100,96435.0,11222.0
101,48278.0,11233.0
102,56308.0,11235.0
103,102770.0,11426.0
104,81688.0,11427.0
105,89525.0,11101.0
106,62952.0,11205.0
107,144330.0,11215.0
108,41907.0,11219.0
109,60896.0,11226.0
110,76278.0,11228.0
111,74015.0,11236.0
112,91795.0,11366.0
113,67582.0,11370.0
115,75266.0,11374.0
116,89700.0,11379.0
117,79589.0,11419.0
118,93397.0,11422.0
119,77466.0,11428.0
120,62453.0,11433.0
121,35607.0,10002.0
122,33801.0,10029.0
123,55721.0,10031.0
124,63556.0,10034.0
125,53199.0,10040.0
129,45838.0,11354.0
130,64324.0,11356.0
131,84356.0,11360.0
132,92212.0,11362.0
133,57375.0,11237.0
134,57707.0,11203.0
135,45946.0,11208.0
136,70776.0,11210.0
137,29385.0,11212.0
138,65548.0,11221.0
139,29571.0,11239.0
140,86545.0,11361.0
141,87135.0,11364.0
142,91836.0,11413.0
143,82532.0,11429.0
144,65845.0,11434.0
145,72962.0,11436.0
146,53077.0,11692.0
147,204949.0,10004.0
148,99067.0,10025.0
149,45555.0,10030.0
150,50686.0,10037.0
154,170385.0,10280.0
155,72394.0,10302.0
156,70315.0,10303.0
157,32378.0,10457.0
158,101935.0,10464.0
159,102730.0,10309.0
160,40639.0,10467.0
161,31645.0,10456.0
162,28408.0,10035.0
163,153002.0,10065.0
164,123854.0,10075.0
170,37777.0,10468.0
172,77136.0,10305.0
173,32598.0,10451.0
174,60397.0,10463.0
175,31778.0,10453.0
176,23337.0,10454.0
177,29439.0,10455.0
178,37886.0,10458.0
179,67190.0,10469.0
180,129981.0,10003.0
181,68220.0,10009.0
182,136208.0,10011.0
183,138661.0,10022.0
184,131013.0,10028.0
186,112658.0,10044.0
187,96555.0,10162.0
189,108808.0,10307.0
190,28831.0,10460.0
191,74889.0,10465.0
192,64643.0,10470.0
193,93657.0,10471.0
194,185268.0,10006.0
195,110490.0,10012.0
196,130675.0,10013.0
197,136154.0,10014.0
198,137347.0,10023.0
199,137126.0,10024.0
200,53690.0,10032.0
204,83309.0,10306.0
205,60802.0,10461.0
