ZIPCODE,density
00083,6.527246355498213e-07
10001,0.0012595152906815829
10002,0.0030937824320082198
10003,0.0035961286449912974
10004,0.00016133610389859108
10005,0.0038921674396601765
10006,0.0017540068890967175
10007,0.0013744702212086211
10009,0.003864239030115376
10010,0.0030589465573994347
10011,0.0027924073294658233
10012,0.0026404926223361235
10013,0.0017961463626553261
10014,0.0022138283381801962
10016,0.0036301380745358065
10017,0.001625217189276589
10018,0.0005140206065664519
10019,0.002228869029256091
10020,0.0
10021,0.004316190965549613
10022,0.0026032468801343083
10023,0.004128126345944939
10024,0.0025580339149329136
10025,0.004892964473431696
10026,0.0030933007529019498
10027,0.002374502477864864
10028,0.00482928018050254
10029,0.003375061166380291
10030,0.003444336950669378
10031,0.0033729432066287586
10032,0.0024873523005703425
10033,0.00335997883037118
10034,0.0015976645589633903
10035,0.0008958275882742036
10036,0.002066061577917664
10037,0.002355132126470041
10038,0.002723572818759541
10039,0.0028784795979010067
10040,0.0025110853597219273
10041,0.0
10043,0.0
10044,0.0018520950151430903
10045,0.0
10047,0.0
10048,0.0
10055,0.0003223766570800508
10065,0.0029240784266766342
10069,0.002465892814844137
10075,0.005240085576046248
10080,0.0
10081,0.0
10096,0.0
10097,0.0
10103,0.0
10104,0.0
10105,0.0
10106,0.0
10107,0.0
10110,0.0
10111,0.0
10112,0.0
10115,0.0
10118,0.0
10119,0.0
10120,0.0
10121,0.0
10122,0.0
10123,0.0
10128,0.005062623697600458
10151,0.0
10152,0.0
10153,0.0
10154,0.0
10155,0.0
10158,0.0
10162,0.0
10165,0.0
10166,0.0
10167,0.0
10168,0.0
10169,0.0
10170,0.0
10171,0.0
10172,0.0
10173,0.0
10174,0.0
10175,0.0
10176,0.0
10177,0.0
10178,0.0
10196,0.0
10203,0.0
10259,0.0
10260,0.0
10265,0.0
10270,0.0
10271,0.0
10275,0.0
10278,0.0
10279,0.0
10280,0.0014189069982713
10281,0.0042025078500065585
10282,0.002648375260016915
10285,0.0
10286,0.0
10301,0.00038445481183514696
10302,0.0006131890348708722
10303,0.0003313496881652169
10304,0.0004225124995126727
10305,0.0003745990195565338
10306,0.0003193629108224004
10307,0.0003062458247421899
10308,0.0004400245669440638
10309,0.0001534221894357731
10310,0.0004676668236061956
10312,0.0003460103391133717
10314,0.00018023749473907553
10451,0.0015250082076038623
10452,0.002762356955913528
10453,0.003012834614287385
10454,0.0012061056647739005
10455,0.0020070621701135613
10456,0.002986291013042411
10457,0.0018664151535077952
10458,0.002206411432404532
10459,0.0020753868130639784
10460,0.0016119734144317208
10461,0.0008046121494148006
10462,0.0014272050608355109
10463,0.00177387067828254
10464,4.805216088534351e-05
10465,0.0003874797038706781
10466,0.0012475369683113064
10467,0.0014124230560092262
10468,0.002115589768677724
10469,0.0009567923465577846
10470,0.0006841983097430498
10471,0.000261869844214714
10472,0.0021430570212005143
10473,0.0009791951351749947
10474,0.0003023827430942928
10475,0.0010594746824054233
11001,0.00043079435759913457
11004,0.0005209115068857075
11005,0.0003892886708204987
11040,0.00037468098211584764
11096,9.049383560280401e-05
11101,0.00033248867169487965
11102,0.0017756612839280124
11103,0.001890676188849504
11104,0.0022447889763801076
11105,0.000756338561034894
11106,0.0016200795012058465
11109,0.004734728324217894
11201,0.0012906958547510528
11203,0.0012871664901528818
11204,0.0017759998192363499
11205,0.001767285712526812
11206,0.0020534034287991642
11207,0.0012648469628671322
11208,0.0011904869348279225
11209,0.0011973068720318302
11210,0.0014005255664145076
11211,0.0015038219452279602
11212,0.001998136663753942
11213,0.002106779745882353
11214,0.0014577094036822198
11215,0.0010217880615868379
11216,0.0020341994724837444
11217,0.0016913679374003076
11218,0.0019604652709214266
11219,0.002203689649240704
11220,0.002049509820546051
11221,0.002079600852472902
11222,0.0008479801830960361
11223,0.001360477388248792
11224,0.001062053386461021
11225,0.002385243353815094
11226,0.002693117863482193
11228,0.0009814771313507858
11229,0.0013241665385430826
11230,0.0016195140977568105
11231,0.0008269116288009099
11232,0.000528301608493489
11233,0.0017621868343129117
11234,0.00041635580481733716
11235,0.001102473674984082
11236,0.000980347481843748
11237,0.0017988491628353645
11238,0.001585623995015709
11239,0.00030056470777385793
11249,0.0016025584965294929
11251,7.222364321418859e-06
11354,0.0009441777975352772
11355,0.0016768699225747986
11356,0.0005396669985951633
11357,0.0005034184040295397
11358,0.0006909784724360916
11359,0.0
11360,0.0004885563512864143
11361,0.0005680622292431998
11362,0.0003238262893320498
11363,0.0002912206059268361
11364,0.000402766851478337
11365,0.0005840959055942509
11366,0.0006468030556697096
11367,0.0005737249420391926
11368,0.0015046145209971914
11369,0.0012679765327735409
11370,0.0009712987762246193
11371,0.0
11372,0.003304818818965649
11373,0.0023744539121524797
11374,0.0016963874312651112
11375,0.0012332748325319396
11377,0.0012647776743739908
11378,0.0005353563474241835
11379,0.000614825893917996
11385,0.0007888365260888733
11411,0.000507556543624671
11412,0.0007638939265100012
11413,0.0004564399176879959
11414,0.0004090173738516677
11415,0.0011302037910611317
11416,0.001348353355657218
11417,0.0009184192417254926
11418,0.0011430710490537928
11419,0.0015043388043698008
11420,0.0007197529196017108
11421,0.001604560794725359
11422,0.0005013085585036353
11423,0.0006706503708061489
11426,0.0004041592030485215
11427,0.000556398453409378
11428,0.0008581899878663237
11429,0.0006348933777848406
11430,8.003454919870704e-08
11432,0.0010315304221184876
11433,0.0007054754983084217
11434,0.0006636438124721678
11435,0.0012683258419799834
11436,0.0008229770846148479
11451,0.0
11691,0.0007180813645550686
11692,0.0007509879573810596
11693,0.0001733164256470244
11694,0.00041917518808892273
11697,6.822238386150833e-05
