ZIPCODE,subway_count
00083,5.0
10001,50.0
10002,17.0
10003,28.0
10004,20.0
10005,14.0
10006,21.0
10007,37.0
10009,4.0
10010,21.0
10011,52.0
10012,23.0
10013,34.0
10014,16.0
10016,16.0
10017,16.0
10018,25.0
10019,61.0
10020,4.0
10021,8.0
10022,29.0
10023,17.0
10024,18.0
10025,19.0
10026,11.0
10027,20.0
10028,12.0
10029,10.0
10030,8.0
10031,13.0
10032,20.0
10033,14.0
10034,18.0
10035,7.0
10036,26.0
10037,3.0
10038,17.0
10039,4.0
10040,9.0
10041,0.0
10043,0.0
10044,1.0
10045,0.0
10047,0.0
10048,0.0
10055,0.0
10065,15.0
10069,0.0
10075,4.0
10080,0.0
10081,0.0
10096,0.0
10097,0.0
10103,1.0
10104,0.0
10105,0.0
10106,0.0
10107,1.0
10110,0.0
10111,0.0
10112,1.0
10115,0.0
10118,0.0
10119,1.0
10120,0.0
10121,1.0
10122,0.0
10123,0.0
10128,6.0
10151,0.0
10152,0.0
10153,0.0
10154,1.0
10155,0.0
10158,0.0
10162,0.0
10165,1.0
10166,0.0
10167,0.0
10168,1.0
10169,0.0
10170,0.0
10171,0.0
10172,0.0
10173,0.0
10174,2.0
10175,0.0
10176,0.0
10177,0.0
10178,0.0
10196,0.0
10203,0.0
10259,0.0
10260,0.0
10265,0.0
10270,0.0
10271,0.0
10275,0.0
10278,0.0
10279,0.0
10280,0.0
10281,0.0
10282,0.0
10285,0.0
10286,0.0
10301,3.0
10302,0.0
10303,0.0
10304,6.0
10305,4.0
10306,12.0
10307,7.0
10308,2.0
10309,8.0
10310,0.0
10312,6.0
10314,0.0
10451,16.0
10452,22.0
10453,14.0
10454,19.0
10455,19.0
10456,4.0
10457,8.0
10458,8.0
10459,23.0
10460,11.0
10461,11.0
10462,10.0
10463,11.0
10464,0.0
10465,1.0
10466,7.0
10467,19.0
10468,17.0
10469,5.0
10470,4.0
10471,3.0
10472,8.0
10473,0.0
10474,0.0
10475,0.0
11001,0.0
11004,0.0
11005,0.0
11040,0.0
11096,0.0
11101,52.0
11102,7.0
11103,7.0
11104,10.0
11105,4.0
11106,6.0
11109,0.0
11201,57.0
11203,0.0
11204,8.0
11205,11.0
11206,23.0
11207,31.0
11208,17.0
11209,11.0
11210,8.0
11211,27.0
11212,10.0
11213,12.0
11214,21.0
11215,25.0
11216,10.0
11217,24.0
11218,14.0
11219,19.0
11220,19.0
11221,6.0
11222,11.0
11223,18.0
11224,10.0
11225,14.0
11226,19.0
11228,6.0
11229,5.0
11230,20.0
11231,6.0
11232,5.0
11233,14.0
11234,0.0
11235,14.0
11236,5.0
11237,19.0
11238,23.0
11239,0.0
11249,0.0
11251,0.0
11354,10.0
11355,0.0
11356,0.0
11357,0.0
11358,0.0
11359,0.0
11360,0.0
11361,0.0
11362,0.0
11363,0.0
11364,0.0
11365,0.0
11366,0.0
11367,0.0
11368,14.0
11369,0.0
11370,0.0
11371,0.0
11372,8.0
11373,21.0
11374,7.0
11375,15.0
11377,15.0
11378,0.0
11379,1.0
11385,13.0
11411,0.0
11412,0.0
11413,0.0
11414,4.0
11415,6.0
11416,2.0
11417,11.0
11418,11.0
11419,8.0
11420,2.0
11421,7.0
11422,0.0
11423,0.0
11426,0.0
11427,0.0
11428,0.0
11429,0.0
11430,0.0
11432,30.0
11433,10.0
11434,0.0
11435,11.0
11436,0.0
11451,0.0
11691,12.0
11692,8.0
11693,5.0
11694,8.0
11697,0.0
